"name","category","url","Sow/ plant outdoors","Article number","Portion contents","Harvest","Thousand grain weight","Pre-cultivation","Plant outdoors","Sow/ plant in greenhouse","Blossoming period"
"Mixture for dry locations","Wild flowers seeds","https://www.reinsaat.at/shop/EN/wild_flowers_seeds/mixture_for_dry_locations/","[6,7,8,9,10,11,16,17,18]","B100","für ca. 2.5 - 5m2",,,,,,
"Mixture for shady locations","Wild flowers seeds","https://www.reinsaat.at/shop/EN/wild_flowers_seeds/mixture_for_shady_locations/","[6,7,8,9,10,11,16,17,18]","B101","für ca. 2.5 - 5m2",,,,,,
"Wild field herbs","Wild flowers seeds","https://www.reinsaat.at/shop/EN/wild_flowers_seeds/wild_field_herbs/","[6,7,8,9,10,11,16,17,18]","B104","für ca. 2.5 - 5m2",,,,,,
"Butterfly meadow mixture","Wild flowers seeds","https://www.reinsaat.at/shop/EN/wild_flowers_seeds/butterfly_meadow_mixture/","[6,7,8,9,10,11,16,17,18]","B102","für ca. 2.5 - 5m2",,,,,,
"Meadow herbs","Wild flowers seeds","https://www.reinsaat.at/shop/EN/wild_flowers_seeds/meadow_herbs/","[6,7,8,9,10,11,16,17,18]","B107","für ca. 2.5 - 5m2",,,,,,
"Chiba Green","Vegetable soy - Edamame","https://www.reinsaat.at/shop/EN/vegetable_soy_-_edamame/chiba_green/","[8,9,10,11]","Bo74",,"[14,15,16,17,18]","466.06 g",,,,
"Summer Shell","Vegetable soy - Edamame","https://www.reinsaat.at/shop/EN/vegetable_soy_-_edamame/summer_shell/","[8,9,10,11]","Bo70","35 Seeds","[14,15,16,17,18]","400.90 g",,,,
"Green Shell","Vegetable soy - Edamame","https://www.reinsaat.at/shop/EN/vegetable_soy_-_edamame/green_shell/","[8,9,10,11]","Bo71","35 Seeds","[14,15,16,17,18]","391.57 g",,,,
"Hokkai Black","Vegetable soy - Edamame","https://www.reinsaat.at/shop/EN/vegetable_soy_-_edamame/hokkai_black/","[8,9,10,11]","Bo72","35 seeds","[14,15,16,17,18]","466.06 g",,,,
"Hokkai Green","Vegetable soy - Edamame","https://www.reinsaat.at/shop/EN/vegetable_soy_-_edamame/hokkai_green/","[8,9,10,11]","Bo73",,"[14,15,16,17,18]","360.00 g",,,,
"Hoffmanns Schwarze Pfahl","Black salsify","https://www.reinsaat.at/shop/EN/black_salsify/hoffmanns_schwarze_pfahl/","[4,5,6,7,8,9]","Sw10","2.5 g","[17,18,19,20,21,22]","12.89 g",,,,
"Halblange","Parsley root","https://www.reinsaat.at/shop/EN/parsley_root/halblange/","[5,6,7,8]","Pe20","für 6-8 m²","[15,16,17,18,19,20,21,22]","1.24 g",,,,
"Winterriesen Stamm Verdil","Spinach","https://www.reinsaat.at/shop/EN/spinach/winterriesen_stamm_verdil/","[16,17]","Sp11","30 g","[20,21,22]","12.79 g",,,,
"Butterflay","Spinach","https://www.reinsaat.at/shop/EN/spinach/butterflay/","[5,6,7,16,17]","Sp12","25 g","[6,7,8,9,10,11,17,18,19,20,21,22]","12.17 g",,,,
"Matador","Spinach","https://www.reinsaat.at/shop/EN/spinach/matador/","[5,6,7,16,17]","Sp10","for about 10m²","[6,7,8,9,10,11,17,18,19,20,21,22]","12.81 g",,,,
"Mooskrause 2","Parsley","https://www.reinsaat.at/shop/EN/parsley/mooskrause_2/","[5,6,7,8,9,10,11,12,13,14]","Pe12","2.5 g","[9,10,11,12,13,14,15,16,17,18,19,20,21,22]","1.39 g",,,,
"Schleswiger Schnee","Parsnips","https://www.reinsaat.at/shop/EN/parsnips/schleswiger_schnee/","[4,5,6,7,8,9,10]","Pa92","5 g","[1,2,19,20,21,22,23,24]","8.20 g",,,,
"Einfache Schnitt 3","Parsley","https://www.reinsaat.at/shop/EN/parsley/einfache_schnitt_3/","[5,6,7,8,9,10,11,12]","Pe10","für ca. 3-4m²","[9,10,11,12,13,14,15,16,17,18,19,20]","1.72 g",,,,
"Gigante d‘Italia","Parsley","https://www.reinsaat.at/shop/EN/parsley/gigante_d_italia/","[5,6,7,8,9,10,11,12,13,14]","Pe11","2 g","[11,12,13,14,15,16,17,18,19,20]","1.82 g",,,,
"Grüne Perle","Parsley","https://www.reinsaat.at/shop/EN/parsley/gruene_perle/","[5,6,7,8,9,10,11,12]","Pe13","2 g","[9,10,11,12,13,14,15,16,17,18,19,20]","1.31 g",,,,
"Halblange Weiße","Parsnips","https://www.reinsaat.at/shop/EN/parsnips/halblange_weisse/","[4,5,6,7,8,9,10]","Pa90","für ca. 7-10m²","[1,2,19,20,21,22,23,24]","4.60 g",,,,
"Blaugrüner Winter","Leeks","https://www.reinsaat.at/shop/EN/leeks/blaugruener_winter/","[7,8]","Po10","f. ca. 2m² bei Direktsaat, f. ca. 20m² bei Pflanzenanzucht","[1,2,3,4,5,6,7,8,9,10,11,12,23,24]","2.81 g",,,,
"Atlanta","Leeks","https://www.reinsaat.at/shop/EN/leeks/atlanta/","[5,6,7,8,9,10]","Po14","0.7 g","[1,2,3,4,19,20,21,22,23,24]","2.51 g",,,,
"Blaugrüner Herbst","Leeks","https://www.reinsaat.at/shop/EN/leeks/blaugruener_herbst/",,"Po13","0.7 g","[17,18,19,20,21,22]","2.96 g","[5,6]",,,
"Annabelle","Potatoes","https://www.reinsaat.at/shop/EN/potatoes/annabelle/",,"Ka3",,"[17,18,19]",,,"[8,9,10]",,
"Blaue Anneliese","Potatoes","https://www.reinsaat.at/shop/EN/potatoes/blaue_anneliese/",,"Ka25",,"[17,18,19]",,,"[8,9,10]",,
"Agria","Potatoes","https://www.reinsaat.at/shop/EN/potatoes/agria/",,"Ka16",,"[17,18,19]",,,"[8,9,10]",,
"Laura","Potatoes","https://www.reinsaat.at/shop/EN/potatoes/laura/",,"Ka11",,"[17,18,19]",,,"[8,9,10]",,
"Heiderot","Potatoes","https://www.reinsaat.at/shop/EN/potatoes/heiderot/",,"Ka20",,"[17,18,19]",,,"[8,9,10]",,
"Ditta","Potatoes","https://www.reinsaat.at/shop/EN/potatoes/ditta/",,"Ka10",,"[17,18,19]",,,"[8,9,10]",,
"Heidemarie","Potatoes","https://www.reinsaat.at/shop/EN/potatoes/heidemarie/",,"Ka15",,"[17,18,19]",,,"[8,9,10]",,
"Nantaise 2 / Fanal","Seed tapes and seed disks","https://www.reinsaat.at/shop/EN/seed_tapes_and_seed_disks/nantaise_2_fanal/","[5,6,7,8,9,10,11,12]","Mö13","5m 2,5g","[13,14,15,16,17,18,19,20]","1.27 g",,,"[1,2,3,4]",
"Basil mixture, green/red","Seed tapes and seed disks","https://www.reinsaat.at/shop/EN/seed_tapes_and_seed_disks/basil_mixture_green_red/","[10,11]","Kr8","1 g","[12,13,14,15,16,17]","1.52 g","[8]",,,
"Basil Genovese","Seed tapes and seed disks","https://www.reinsaat.at/shop/EN/seed_tapes_and_seed_disks/basil_genovese/","[10,11]","Kr11","für ca. 500 Einzelpflanzen.","[12,13,14,15,16,17]","1.57 g","[8]",,,
"Jaune du Doubs","Seed tapes and seed disks","https://www.reinsaat.at/shop/EN/seed_tapes_and_seed_disks/jaune_du_doubs/","[5,6,7,8,9,10,11,12]","Mö27","für 5-6m²5m 1,3g","[13,14,15,16,17,18,19,20]","2.48 g",,,"[1,2,3,4]",
"Rudi","Seed tapes and seed disks","https://www.reinsaat.at/shop/EN/seed_tapes_and_seed_disks/rudi/","[3,4,5,6,7,8,9,10,11,12,13,14,15]","Ra13","5m 5g","[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22]","8.11 g",,,"[2,3,4,17,18]",
"Großblättrige Gartenkresse","Garden Cress","https://www.reinsaat.at/shop/EN/garden_cress/grossblaettrige_gartenkresse/","[6,7,8,9,10,11,12,13,14,15,16,17,18]","Kr2","40 g","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24]","1.81 g","[1,2,3,4,5,6,19,20,21,22,23,24]",,,
"Einfache Gartenkresse","Garden Cress","https://www.reinsaat.at/shop/EN/garden_cress/einfache_gartenkresse/","[6,7,8,9,10,11,12,13,14,15,16,17,18]","Kr1","for 1m²","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24]","2.24 g","[1,2,3,4,5,6,19,20,21,22,23,24]",,,
"Perfektion","Florence Fennel","https://www.reinsaat.at/shop/EN/florence_fennel/perfektion/",,"Fe10","0.5 g","[10,11,12,16,17,18,19]","4.53 g","[3,4,5]","[5,6,7,8,12,13]",,
"Fino","Florence Fennel","https://www.reinsaat.at/shop/EN/florence_fennel/fino/",,"Fe11","0.4 g","[12,13]","4.55 g","[4,5,6,7,8]","[7,8,9,10]",,
"Starozagorski kamuš","Leeks","https://www.reinsaat.at/shop/EN/leeks/starozagorski_kamu/",,"Po15","0.6 g","[13,14,15,16,17,18,19,20,21,22]","3.30 g","[1,2,3,4]","[5,6,7,8,9,10]",,
"Hilari","Leeks","https://www.reinsaat.at/shop/EN/leeks/hilari/",,"Po12","0.7 g","[11,12,13,14]","3.05 g","[1,2,3,4,23,24]","[5,6]",,
"Herbstriesen 2","Leeks","https://www.reinsaat.at/shop/EN/leeks/herbstriesen_2/","[5,6]","Po11","0.7 g","[11,12,13,14]","2.77 g","[1,2,3,4]",,,
"Verde a costa bianca 3","Swiss chard","https://www.reinsaat.at/shop/EN/swiss_chard/verde_a_costa_bianca_3/","[5,6,7,8,9,10,11,12]","Ma14","150 Pflanzen","[7,8,9,10,11,12,13,14,15,16,17]","13.31 g","[3,4,5,6]",,,
"Nero","Aubergine / Eggplants","https://www.reinsaat.at/shop/EN/aubergine_eggplants/nero/","[10,11]","Me21","30 sedds","[14,15,16,17,18,19]","5.40 g","[2,3,4,5,6]",,"[5,6,7,8,9,10]",
"Forono","Beetroot","https://www.reinsaat.at/shop/EN/beetroot/forono/","[8,9,10,11,12,13]","Rü12","ca. 250 Pflanzen","[13,14,15,16,17,18,19,20]","8.66 g",,,,
"Burpees Golden","Beetroot","https://www.reinsaat.at/shop/EN/beetroot/burpees_golden/","[8,9,10,11,12,13]","Rü16","5 g","[13,14,15,16,17,18,19,20]","13.49 g",,,,
"Gesche","Beetroot","https://www.reinsaat.at/shop/EN/beetroot/gesche/","[8,9,10,11,12,13]","Rü9","5 g","[13,14,15,16,17,18,19,20]","9.72 g",,,,
"Rote Kugel 2","Beetroot","https://www.reinsaat.at/shop/EN/beetroot/rote_kugel_2/","[8,9,10,11,12,13]","Rü10","für ca. 250 Pflanzen","[13,14,15,16,17,18,19,20]","12.25 g",,,,
"Tonda di Chioggia","Beetroot","https://www.reinsaat.at/shop/EN/beetroot/tonda_di_chioggia/","[8,9,10,11,12,13]","Rü14","5 g","[13,14,15,16,17,18,19,20]","9.37 g",,,,
"Rü17 RS-Rü-01.22 (Snow White)","Beetroot","https://www.reinsaat.at/shop/EN/beetroot/rue17_rs-rue-01.22_snow_white/","[8,9,10,11,12,13]","Rü17","5g","[13,14,15,16,17,18,19,20]","13.00 g",,,,
