"name","category","subcategory","url","Sow/ plant outdoors","Article number","Portion contents","Suitable for professional cultivation","Thousand grain weight","Plant outdoors","Harvest","Pre-cultivation","Distances","Sowing depth","Cultivation","Spacing","Required quantity of seeds","Sowing","Blossoming period","Planting","Distance","Propagator","Thousand seeds mass","Required quantity","Sowing outdoors","Distances approx.","1stharvest","Germination temperature","1st harvest","Prpagator","Sow/ plant in greenhouse","Direct sowing","Development time approx.","Precision seeds","Thousand seeds mass","Sowing direct outside","Harvesting","Sowing/Pre-culttivation","Thousand grain mass","Ripening period","Distance        Ko49:","Ko51","to a scale of 10 0 (mild) – 10 (extremely hot)."
"Mixture for dry locations","Wild flowers seeds",,"https://www.reinsaat.at/shop/EN/wild_flowers_seeds/mixture_for_dry_locations/","[6,7,8,9,10,11,16,17,18]","B100","für ca. 2.5 - 5m2",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wild field herbs","Wild flowers seeds",,"https://www.reinsaat.at/shop/EN/wild_flowers_seeds/wild_field_herbs/","[6,7,8,9,10,11,16,17,18]","B104","für ca. 2.5 - 5m2",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Butterfly meadow mixture","Wild flowers seeds",,"https://www.reinsaat.at/shop/EN/wild_flowers_seeds/butterfly_meadow_mixture/","[6,7,8,9,10,11,16,17,18]","B102","für ca. 2.5 - 5m2",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meadow herbs","Wild flowers seeds",,"https://www.reinsaat.at/shop/EN/wild_flowers_seeds/meadow_herbs/","[6,7,8,9,10,11,16,17,18]","B107","für ca. 2.5 - 5m2",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mixture for shady locations","Wild flowers seeds",,"https://www.reinsaat.at/shop/EN/wild_flowers_seeds/mixture_for_shady_locations/","[6,7,8,9,10,11,16,17,18]","B101","für ca. 2.5 - 5m2",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buckwheat","Green Manure",,"https://www.reinsaat.at/shop/EN/green_manure/buckwheat/","[8,9,10,11,12,13,14,15,16]","Gr1",,true,"30.20 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phacelia","Green Manure",,"https://www.reinsaat.at/shop/EN/green_manure/phacelia/","[6,7,8,9,10,11,12,13,14,15,16,17]","Gr3",,true,"1.72 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peavine","Green Manure",,"https://www.reinsaat.at/shop/EN/green_manure/peavine/","[6,7,8,9,10,11,12,13,14,15,16,17]","Gr6",,true,"144.60 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Winter Vetch","Green Manure",,"https://www.reinsaat.at/shop/EN/green_manure/winter_vetch/","[15,16,17,18,19]","Gr2",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summer Vetch","Green Manure",,"https://www.reinsaat.at/shop/EN/green_manure/summer_vetch/","[7,8,9,10,11,12,13,14]","Gr4",,true,"57.27 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yellow mustard","Green Manure",,"https://www.reinsaat.at/shop/EN/green_manure/yellow_mustard/","[7,8,9,10,11,12,13,14,15,16,17,18]","Gr5",,true,"6.09 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Broad Bean/Peavine/Vetch Mixture","Green Manure",,"https://www.reinsaat.at/shop/EN/green_manure/broad_bean_peavine_vetch_mixture/","[6,7,8,9,10,11,12,13,14,15,16,17,18]","Gr7",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crimson Clover","Green Manure",,"https://www.reinsaat.at/shop/EN/green_manure/crimson_clover/","[7,8,9,10,11,12,13,14,15,16,17]","Gr8",,true,"4.20 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover Grass","Green Manure",,"https://www.reinsaat.at/shop/EN/green_manure/clover_grass/","[7,8,9,10,11,12,13,14,15,16,17]","Gr9",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexandrine clover","Green Manure",,"https://www.reinsaat.at/shop/EN/green_manure/alexandrine_clover/","[8,9,10,11,12,13,14]","Gr10",,true,"3.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa","Green Manure",,"https://www.reinsaat.at/shop/EN/green_manure/alfalfa/","[5,6,7,8,9,10,11,12,13,14,15,16,17,18]","Gr12",,true,"2.20 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Red Clover","Green Manure",,"https://www.reinsaat.at/shop/EN/green_manure/red_clover/","[5,6,7,8,9,10,11,12,13,14,15,16,17]","Gr17",,true,"1.70 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calendula Mix","Green Manure",,"https://www.reinsaat.at/shop/EN/green_manure/calendula_mix/","[6,7,8,9,10,11,12,13,14,15]","Gr18",,true,"6.70 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunflower","Green Manure",,"https://www.reinsaat.at/shop/EN/green_manure/sunflower/","[8,9,10,11,12,13,14,15,16]","Gr14","10 Seeds",true,"50.40 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chinese Mallow","Green Manure",,"https://www.reinsaat.at/shop/EN/green_manure/chinese_mallow_1/","[7,8,9,10,11,12]","Gr19",,true,"3.41 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Broad Bean Bioro","Green Manure",,"https://www.reinsaat.at/shop/EN/green_manure/broad_bean_bioro/","[4,5,6,7,8,9,10,11,12,13,14,15,16,17]","Gr16",,true,"378.93 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mixture of field flowers","Flowers and herbs","Flower mixtures","https://www.reinsaat.at/shop/EN/flowers_and_herbs/flower_mixtures/mixture_of_field_flowers/","[6,7,8,9,10,11,16,17,18]","B199","1g",false,"1.07 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bee food","Flowers and herbs","Flower mixtures","https://www.reinsaat.at/shop/EN/flowers_and_herbs/flower_mixtures/bee_food/","[6,7,8,9,10,11,16,17,18]","B170","5 gr",false,"2.91 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summer dream mix","Flowers and herbs","Flower mixtures","https://www.reinsaat.at/shop/EN/flowers_and_herbs/flower_mixtures/summer_dream_mix/","[7,8,9,10]","B166","1g for about 1.5 m² for sowing direct and for 2.5 m² for pre-cultivation.",false,"4.25 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual summer mix","Flowers and herbs","Flower mixtures","https://www.reinsaat.at/shop/EN/flowers_and_herbs/flower_mixtures/annual_summer_mix/","[7,8,9,10,11]","B84","1.7 g reicht für ca. 1,5 m2 bei Direktsaat und 2,5 m2 bei Anzucht.",false,"1.72 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Perennial Summer Mix","Flowers and herbs","Flower mixtures","https://www.reinsaat.at/shop/EN/flowers_and_herbs/flower_mixtures/perennial_summer_mix/","[7,8,9,10]","B85","1.5 g reicht für ca. 1,5 m2 bei Direktsaat und 2,5 m2 bei Anzucht.",false,"1.26 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jessica","Swiss chard",,"https://www.reinsaat.at/shop/EN/swiss_chard/jessica/",,"Ma17","2.5 g",true,"17.79 g","[11,12,13,14]","[1,2,3,4,5,6,17,18,19,20,23,24]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baumspinat","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/baumspinat/","[4,5,6,7,8,9,10,11,12,13,14,15,16,17]","CV156","0.2 g",false,"0.56 g",,"[8,9,10,11,12,13,14,15,16,17,18,19,20]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garden orache, ruby red","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/garden_orache_ruby_red/","[5,6,7,8,9,10]","CV13","für ca. 200 Pflanzen",false,"2.80 g",,"[8,9,10,11,12,13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gartenmelde Mix Tricolor","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/gartenmelde_mix_tricolor/","[5,6,7,8,9,10]","CV155","1 g",false,"2.36 g",,"[8,9,10,11,12,13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Erdmandel","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/erdmandel/","[9,10,11]","CV12","22 Seeds",false,"377.12 g",,"[19,20]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strawberry Spinach.","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/strawberry_spinach./","[5,6,7,8,9]","CV147","0.2 g",false,"0.75 g",,"[12,13,14,15,16]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schalotte, Red Sun","Onion, Garlic","Spring onion sets","https://www.reinsaat.at/shop/EN/onion_garlic/spring_onion_sets/schalotte_red_sun/","[4,5,6]","Zw62",,false,,,"[13,14,15,16]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Artichoke Green Globe","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/artichoke_green_globe/",,"CV41","30 Seeds",false,"43.33 g",,"[15,16,17,18]","[3,4,5,6,7,8,9,10]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
